품목별,출하금액(백만원)
군사용 무기 및 부품,5477474
비군사용 총기류,26849
가스총,X
기타 비군사용 무기 및 부품,13710
분말야금제품,426122
보통강 단조물,1340954
특수강 단조물,943057
기타 철강 단조물,585987
스테인리스 단조물,133381
알루미늄단조물,173798
동단조물,26044
기타 비철금속 단조물,73196
자동차용 프레스 가공품,4534264
가정용 압형제품(알루미늄제),296131
가정용 압형제품(스테인리스제),583143
기타 프레스 가공품,1092277
금속 열처리 제품,869330
절삭가공,6127443
기타 금속처리 제품,733735
금속제 식탁용품(식기제외),32241
칼 및 칼날(식탁용 나이프 제외),60576
면도기 및 면도날,294781
가위,31551
손톱 및 발톱 깍기,46803
건물용 철물,681968
가구용 철물,352522
자동차용 철물,1149436
디지털 도어록,396329
"자물쇠, 열쇠 및 관련 부품(자동차용 제외)",50616
캐스터(소형바퀴),78312
가방 부착용 철물,23214
커튼 및 블라인드 부품,11155
기타 일반철물,266416
드라이버,X
스패너 및 렌치,8200
기타 작업용 수공구,85339
농업용 수공구,4638
드릴,47660
햄머,13099
기타 수공구,51585
톱(수동식),47124
톱날,108906
공작기계용 절삭공구,2322546
기타 공작기계용 부속물,97392
볼트 및 너트류(금속제),3590374
쇠못,119088
나사못(금속제),373167
리베트(금속제),34659
와셔(금속제),111353
기타 금속파스너,54558
코일스프링,740166
잎(판상)스프링,123171
기타 금속스프링,268336
철망,657732
와이어로프,671773
체인(동력전달용 제외),50271
기타 철선조립제품,74849
스틸캔(음식료품용),539082
알루미늄캔(음식료품용),597613
에어로졸캔,364483
드럼통,560195
금속 튜브용기,108142
기타 금속포장용기,701438
병마개,200303
알루미늄제 주방 및 식탁용품,567324
스텐레스 주방 및 식탁용품,294741
법랑제 주방 및 식탁용품,X
기타 금속제 주방 및 식탁용품,18886
싱크상판,145497
기타 금속 위생용품,119317
금속표시판,256804
용접봉,880818
금속제 액자틀,8966
기타 금속제 장식용품,123548
이동식 금속 사다리 및 부품,30211
"선박용 프로펠러, 날 및 닻",211013
금속제 파킹 및 가스켓,175198
기타 조립금속제품,293492
금속제 영구자석 제조,124430
바늘,61800
금고,114168
금고 부품,10833
기타 분류안된 금속가공제품,148575
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",269593274
D RAM,87731226
S RAM,X
Flash 메모리 (모듈포함),13326641
기타 반도체 메모리,6877607
스탠다드로직,X
ASIC 로직,1237486
마이크로 콤퍼넌트,748083
바이폴라 IＣ,258168
기타 모노리식 디지털 집적회로,X
아날로그 집적회로,52854
하이브리드 집적회로,72800
기타 혼성 집적회로,29826
극소형 조립회로,4028328
CMOS이미지센서,3001851
D D I,3238511
전자집적회로 부분품,968776
LED(OLED),3345884
트랜지스터,281910
다이오드,325230
감광성 반도체소자,217750
압전소자,X
수정진동자,20334
반도체웨이퍼,2509648
LED 에피칩,X
기타 반도체개별소자,256263
태양광웨이퍼,X
태양전지,397080
기타 반도체소자 부품,1630076
노트북용LCD,3751894
TV용 LCD,16868662
모니터용 LCD,4005627
기타 LCD,4688172
LCD용 컬러 필터,X
LCD용 백라이트 유니트(BLU),1032272
진공형광관,X
LCD편광필름,5664063
기타 액정표시장치 부품,799325
OLED 패널,21492650
PDP,11417
터치스크린 패널,1151448
기타 평판디스플레이 판넬,44225
기타 평판 디스플레이 부품,608846
PDP필터,X
페놀동박적층판,617634
에폭시동박적층판,1250080
기타 인쇄회로원판,512419
페놀인쇄회로기판,903685
에폭시인쇄회로기판,3655157
연성 및 기타인쇄회로기판,2176908
전자부품 실장기판,1941206
탄탈륨 축전기,X
알미늄 전해축전기,229262
세라믹 유전체의 고정축전기,1445493
종이 및 플라스틱 고정축전기,27887
기타 고정식축전기,X
전자회로용 가변식 축전기,45051
전기고압용 축전기(>=0.5KW),58596
축전기 부품,189088
탄소피막형 고정저항기,40530
칩형 고정저항기,91950
기타 고정저항기,7823
탄소 가변저항기,X
서미스터,57268
바리스터,153225
기타 가변저항기,X
저항기 부품,42714
마그네틱 스트라이프를 자장한 카드,70697
스마트 카드,346106
전자부품용 변성기,183486
전자유도 코일 및 쵸크,322904
기타 전자유도자,739597
전자코일 및 인덕터의 부품,52530
센서,772411
자동차용 센서,814315
컬러TV용 음극선관,X
기타 음극선관,X
자전관,15522
기타전자관,12395
기타 전자관 부품,15597
그래픽 카드,X
멀티미디어카드,X
컴퓨터용 모뎀카드(PC용),X
기타 전자접속 카드,X
리드프레임,878721
표시기,275800
편향코일,X
전자총,X
포토마스크(Photomask),629301
기타 전자 부품,792071
중대형 컴퓨터,260313
데스크탑 PC,433834
노트북,34375
PDA(휴대용 정보단말기),153427
태블릿PC,660292
기타 휴대용 컴퓨터,X
기타 컴퓨터,93495
하드디스크 드라이브,40671
광디스크 드라이브,X
휴대용 저장장치,99166
SSD(solid state drive),1983903
기타 기억장치,9489
자기헤드(컴퓨터용),X
기억장치 부품,26813
액정 모니터(컴퓨터용),787672
임팩트 프린터(충격식),62831
레이저 프린터,412255
잉크젯 프린터,78244
기타 비충격식 프린터,X
컴퓨터 프린터 부품,35641
키보드,62389
마우스,6761
스캐너류,71162
기타 입력장치,186924
기타 출력장치(컴퓨터용),X
컴퓨터 단말기,31897
주기판,47881
PC 카메라,X
컴퓨터 케이스,28786
기타 컴퓨터용 보드,12208
기타 컴퓨터 주변기기,29929
컴퓨터주변기기 전용부품(기억장치부품제외),260746
일반 전화기,X
코드없는 전화기세트,9638
영상 전화기,11611
기타 유선전화기,95386
기간통신사업용 교환기,24032
사설 교환기,X
기타 유선 교환기,X
반송장치(아날로그식),10977
반송장치(디지털),290164
디지털 다중화장치,38853
신호변환기,101831
"광전송 장비(다중계기, 분배기)",437250
중앙통제실 송신용 칩입 및 화재경보 시스템 제조,71107
팩시밀리,X
라우터 및 게이트웨이,35827
허브 및 네트웍관련 스위치,54659
키폰세트 및 시스템,X
음성자동응답기,X
비디오도어폰,171620
인터폰,66156
홈네트워크 장비,77322
기타 유선통신기기,72190
유선 전화기 부품,4387
교환기 부품,27849
반송기기 부품,10873
광통신기기 부품,669073
기타 유선 통신기기 부품,36557
방송용 증폭기,124295
방송용 음향관련 기기,145803
방송용 영상관련 기기,92002
케이블TV 수신자용 컨버터,21651
케이블TV 수신자용 기기,67333
위성방송 수신용 안테나,202830
위성방송 수신기,1271821
지상파방송 송수신기,X
유선방송 송수신기,105919
기타 TV송수신기,X
라디오송신기,X
DMB 송수신 기기,23020
기타 송신관련 기기,6282
폐쇄회로 카메라,1889889
기타 방송국용 기기,7523
방송국용 기기의 부분품,48328
휴대용 전화기,17861039
휴대용전화기 KD세트,2123799
휴대폰용 카메라모듈,5599671
기타 휴대용 전화기 부품,3505109
주파수 공용통신 단말기,46716
무선 호출기,31384
무전기,308458
WiBro 단말기,X
기타 무선 통신전화기,17450
무선통신용 교환기,166311
무선통신 기지국용 송수신기,86093
무선통신용 중계기(릴레이),718981
안테나시스템,190174
RFID(전자테그),153650
WiBro 중계기,33140
기타 무선통신 시스템,766752
기타 무선통신기기,161203
SAW Filter(표면탄성파 필터),293311
무선통신 단말기의 부품,356127
무선통신기기의 부품,211668
FPD TV,3987642
기타 TV,33860
텔레비전의 부품,262415
영상모니터,523137
레이저디스크 플레이어 및 DVD 플레이어,121487
캠코더,X
DVR,204755
외장형 DMB 튜너 (PC 장착용),X
외장형 DMB 튜너 (자동차 장착용),217016
안테나,373531
비디오용 헤드드럼,X
가정용 오디오,X
차량용 오디오,640906
MP3 Player,X
어학실습기,X
녹음기 및 녹음재생기,30136
노래반주기,94838
기타 음향 녹음 또는 재생기기,X
"라디오, 녹음 및 재생기기의 부품",38747
스피커,311608
기기용 앰프셋트,202032
오디오용 튜너,X
이퀄라이저,X
픽업,X
마이크로폰과 그 스탠드,75166
헤드폰,115337
자동차용음향증폭기,X
이어폰,98882
기타 음향관련 기기,15719
음향기기용 자기헤드,X
음향기기의 전용부품,274768
자기 및 광 디스크,12242
"의료, 정밀, 광학 기기 및 시계 제조업",27804069
의료용 방사선 장치,685939
산업용 방사선장치,75270
방사선 기타 장치,7287
방사선장치의 부품,143240
심전계,46536
초음파진단기,1107883
전자혈압계,6310
기타 전기 및 전자식 진단용기기,276752
광선치료기,399334
환자감시장치,13424
기타 전기식 치료 및 요법기기,122943
전기·전자식 진단 및 요법기기 부품,112478
치과용 기기,181167
치과기공소용 기기,27216
치과 및 치과기공소용 기기의 부품,21651
보청기,26849
치과용 임플란트,583343
치과기공소의 제품,316022
인공신체,45334
정형외과용 기기,191545
정형외과용 기기 및 보청기 부품,26234
선글라스,11737
기타 안경,21368
안경용 렌즈,149822
콘택트렌즈,293786
안경테,121161
기타 안경 부품,76801
치과용 의자,64027
병원침대,85742
이·미용실 의자,X
기타 의료용 가구,63750
주사기 및 수혈세트,477724
살균기(의료 및 실험실용),86259
산소호흡기,25780
기타 호흡관련 의료기기,163749
기타 의료용 기기,653419
기타 의료기기 부품,400582
측량기기,150812
GPS 시스템,142996
리모콘,158368
텔레매틱스 단말기,X
내비게이션,4308694
레이더기기,540697
조타기,10542
기타 항해용 기기,182252
측량기 및 항해용 무선기기의 부품,29570
오실로스코프 및 오실로그래프,X
전자계측기,475962
기타 전기량 측정 및 검사용기기,106488
전기량측정 및 검사용기기의 부품,43878
액면계,84409
압력계,101143
공해계측기,288005
온도계,24355
재료시험기,284392
열측정 및 풍력계기,69741
액체비중계,X
반도체 검사장비,2400165
기타 물질 측정 및 검사기기,868636
물질 검사·측정 및 분석기구의 부품,375169
가스공급계기,135254
수도미터,107962
기타 기체 및 액체공급계기,7998
전기공급계기,426307
속도계,825236
기타 적산계기,114965
속도계 및 적산계기 및 부품,88985
온도 자동조절장치(공업용 제외),294866
기타 자동조절기,180814
자동조절기(공업용 제외)의 부품,74204
온도자동제어장치,516683
산업용온도조절기,685552
기타 산업처리공정 제어장비,1620523
공업계기의 부품,153398
도안 및 제도기구,65149
"기타 측정, 시험, 항해 및 정밀기기 및 부품",157422
광섬유,49798
광학렌즈,2243965
광학필터,85287
BLU용 광학필름,1089674
기타 광학요소 관련품,29365
디지털 카메라,X
기타 사진기,119248
투영기,7699
사진섬광기구,X
기타 사진관련 기기,X
영화관련 기기,30302
"사진기, 영사기 및 관련장비의 부품",168529
쌍안경 및 천문관측기기,92953
광학현미경,69640
기타 광학기기,298564
레이저발생기기,36820
기타 광학기기의 부품,147215
휴대용 시계,28116
벽시계 및 탁상시계,10182
기타 시계,3208
시계케이스,X
시계줄(금속제),X
기타 시계부품,14874
전기장비 제조업,79224106
소형 전동기,2469017
중대형 직류 및 교류겸용 전동기,500921
중대형 교류전동기,507211
발전기,538534
발전기세트,112430
회전위상변환기,107914
태양광모듈,2517094
태양광발전시스템,235548
발전플랜트,466009
"전동기, 발전기 및 발전기 세트의 부품",929541
송배전변압기,906919
발전변압기,48290
특수목적용 변압기,87934
산업용 일반변압기,838691
전압조정기,23451
변압기 부품,296097
형광등용 안정기,147475
형광등용 안정기의 부품,12301
에너지 저장장치(ESS),412971
정류기,633003
인버터,754232
어댑터,119292
통신 및 컴퓨터용 전원장치,224129
무정전 전원장치,508049
배터리 충전기,451632
핸즈프리,X
배터리팩,565761
기타 정지형 변환기,104222
정지형 변환기의 부품,135046
고압 차단기(1000v 이상),1293794
배선용 차단기(1000v 미만),886744
기타 저압 차단기(1000v 미만),273557
퓨즈,41222
스위치(전기개폐용),1605689
계전기,180770
기타 개폐 및 보호관련 기기,168921
"전기회로 개폐, 보호 장치 부품",370122
플러그(전기접속용),104240
콘센트,197474
커넥터(일반전기접속용),2410247
전등용 소켓,37814
기타 전기 접속기기,116680
전자 커넥터(통신 및 전자기기회로용),1190050
전기회로 접속장치 부품,256095
저압배전반(전압1000v 미만),1343273
고압배전반(전압1000v 이상),1471150
수치제어장치,357539
자동전기제어반,1836600
프로그램 콘트롤러,647243
배전반 부품,378794
일차전지,260166
일차전지 부품,23356
차량용 납(연)축전지,6112364
기타 납(연)축전지,64007
알칼리 축전지,7332436
축전지 부품,2347818
광섬유 케이블,390393
전력선(송배전용),4066284
통신선,721097
신호 및 제어선,380819
절연전선(옥내외 저압 배선용),1914713
권선(마그네틱선),955185
기타 전선,911393
절연코드 및 코드세트,1143655
백열 전구,10513
할로겐 전구,54779
기타 필라멘트 전구,X
형광등(램프),54294
기타 방전램프,29628
LED 전등,1075717
기타 전구 및 램프,29694
전구 및 램프 부품,62491
자전거 및 차량용 조명기구,3515900
"선박, 철도차량, 항공기 및 오토바이용 조명기구",136498
차량용 조명 및 전기장치의 부품,660542
가정용 고정식 조명장치,739994
가정용 이동식 조명기구,76877
산업용 조명장치,523160
옥외용 조명장치,366776
조명장치 부분품,109930
전기식 간판,491219
장식용 조명세트,20757
전시 및 광고용 조명장치 부품,95100
휴대용 전등기구,15118
기타 비전기식 조명장치,26213
기타 조명장치 부품,15447
가정용 전자레인지,55482
가정용 전기 밥솥,355160
전기 후라이팬,41397
전자 오븐,72557
전기레인지,144628
기타 전기식 조리기기,51854
소형냉장고(200ℓ 이하),45333
중형냉장고(201ℓ ~ 400ℓ 이하),450263
대형냉장고(401ℓ 이상),2025689
김치냉장고,907314
가정용 전기믹서기,237465
가정용 식기 세척기,281446
가정용 전기식 식기 건조기,52423
렌지후드,151912
기타 주방용 전기기기,53485
주방용 전기기기 부품,535410
전기담요 및 장판,118599
전기 난로,36507
전기보일러,15837
전기온수기,61968
가정용 온풍기,15343
기타 가정용 전기식 난방기기,44832
가정용 전기식 난방기기의 부품,70081
전기 면도기,X
전기 안마기,135254
전기식 헤어드라이어,44732
전기 이발기,6665
기타 전기식 이미용기구,212933
가정용 세탁기,1897522
의류 건조기,X
가정용 선풍기,105035
가정용 환풍기,94341
가정용 가습기,22118
가정용 전기청소기,507193
전기비데,303586
전기다리미,X
기타 가정용 전기기기,141867
기타 가정용 전기기기 부품,1156156
가정용 기름 보일러,31128
가정용 가스 보일러,674361
석유 난로,X
가스 난로,1266
기타  가정용 난방기기,75656
가스레인지,202019
가스오븐레인지,256936
가정용 비전기식 휴대용 조리기기,47672
기타 비전기식 가정용 조리기기,13644
가정용 비전기식 조리 및 난방기기의 부품,160402
"도난, 화재 및 유사 경보기(차량용 제외)",338682
차량용 도난 및 화재 경보기,27173
기타 신호장치,44852
전기경보 및 신호장치 부품,79958
전기 애자 및 절연용 물품,115675
탄소전극 및 흑연전극,195038
카본부러쉬,71944
기타 전기용 탄소제품,19403
전기식 교통 통제장비,221548
전기식 교통통제장비의 부품,X
내연기관용 전기장치(자동차용 제외),71102
전자석 및 영구자석의 제품,75797
아크 용접기,48091
저항 용접기,95777
기타 전기용접기,55197
연료전지,152545
신호 발생기,X
오존 발생기,29696
이온 정수기,31557
전기도금 및 전기분해용 기기,60862
초음파 세척기,56432
기타 전기장비,134784
기타 전기장비의 부품,71600
기타 기계 및 장비 제조업,122409792
선박용 내연기관,2533829
기계용 내연기관,1005766
내연기관 부품(차량 및 항공기용 제외),1312589
터빈,116100
터빈 부품,105803
유압실린더 및 유압시스템,1759601
공압실린더 및 공압액츄에이터,332249
유압 펌프,708016
기압식 기체펌프 및 압축기,85881
기타 유압기기,89514
유압기기 부품,576306
산업용 액체펌프,1180700
가정용 펌프,180306
급유 및 계기용 펌프,163292
액체펌프의 부품,98381
진공 펌프,1190773
냉매 압축기(차량용 제외),771407
차량 에어컨용 압축기,825395
산업용 공기압축기,613269
기타 기체펌프 및 압축기,160059
기체 펌프 및 압축기 부품,100670
감압 밸브,280706
유압 및 공기압전송용 밸브,1061241
체크 밸브,240721
안전 밸브,306857
수전,877235
볼 및 플러그밸브,375160
자동조절 및 원격조절밸브,598406
기타 밸브,273350
"탭, 밸브의 부품",600228
볼 베어링,1671401
원추형 롤러베어링,287101
지구베어링,209467
기타 베어링,277734
베어링 부품,303578
변속기,764908
기어 및 기어링,577451
체인(동력전달용),172100
플레인베어링,224362
기타 기계식 동력전달장치,115505
기계식 동력전달장치 부품,112887
공업용로,481712
소각로,869607
전기로,276667
로 부속품 및 부품,148426
포크리프트 트럭(지게차),1377275
기타 산업용 트럭 및 적재기,16969
산업용 트럭 및 적재기 부품,345503
엘리베이터,2860773
에스컬레이터,X
리프트기기,120391
주차기,268997
승강기류 부품,779180
컨베이어,2303289
자동창고시스템,306838
컨베이장치류 부품,152361
호이스트,215840
물품취급용 크레인,576788
윈치 및 캡스턴,71688
기타 물품취급장비,105325
물품취급장비 부품,102100
산업 및 상업용 냉장고,377437
산업용 냉동기,898074
냉각탑,154022
냉동，냉장 쇼케이스,401988
기타 냉동장비,23115
산업용 냉장 및 냉동장비의 부품,714594
룸에어컨,355462
패키지에어컨,1155990
차량용 에어컨,2714038
시스템에어컨,1850856
에어핸드링유니트,337091
팬코일유니트,89143
항온항습기,404773
기타 공기조화장치,330460
공기조절장치 부품,2101694
송풍기(산업용),948071
송풍기(산업용) 부품,132860
공기청정기,987272
차량용 공기청정기,84698
집진기,348947
기타 기체 여과기 및 청정기,342095
기체 여과기 및 청정기 부품,568077
정수기,1139161
상하수정화장비,382893
연수기,X
기타 액체여과기,266328
액체 여과기 부품,910030
열교환기,2182900
증류기 및 가스발생기,109649
증류기 및 열교환기의 부품,238591
복사기,105715
현금자동지급기(CD),94850
자동거래단말기(ATM),295412
금전등록기,163733
동전 및 화폐 처리기,110865
표권 발행기,38139
전자수첩,X
신용카드조회기,88753
기타 계산 관련기기,12718
우편물취급기기,6865
문서 펀칭기(사무용) 및 스테이플러,12520
문서 및 그림 코팅기(사무용),71132
기타 사무용 기계,238336
복사기 전용부품,86495
계산관련 기기의 전용부품,29448
사무기기의  전용부품,10118
산업용 저울,63251
가정 및 상업용 저울,61959
병，용기의 세척기,9386
충전기(포장겸용),225333
포장기,568268
포장기 및 용기세척기 부품,49217
소화기,252566
스프링쿨러,104933
분사기,144346
소화장비 및 분사기 부품,192230
수지식 동력연삭기,126167
기타 수지식 동력 공구,71083
수지식 동력공구 부품,86483
자동판매기 및 화폐교환기,84532
가스 용접기 및 절단기,204693
기타 용접기,32576
원심분리기,147281
산업용 접시 세척기,59182
기타 일반목적용 기계,388103
자동판매기 및 화폐교환기 부품,10320
기타 일반목적용기계 부품,445804
경운기,72691
농업용 트랙터,1131325
쟁기,8847
기타 경지정리용 기계,133739
농업용 분무기,124116
이앙기,127168
기타 재배관련기기,95748
콤바인(농업용),125228
농업용 건조기,96798
기타 수확관련 기계,72939
사료가공 기계(농업용),73936
기타 축산기계,104190
기타 농업용기계,113639
농업용 기계 부품,613993
레이저 가공기,453310
방전가공기,58753
기타 전자응용 절삭기계,69759
전자응용 가공 절삭기계의 부품,104274
디지털 적층 성형기계,81588
디지털 적층 성형기계 부품,12912
머시닝 센터,1499167
전용기,588404
수치제어식 선반,1496991
범용 선반,67437
드릴링기,31323
보링기,36198
밀링기,31766
탭핑기,15993
연삭기,107554
기어절삭기,10853
톱기계(금속용),22127
기타 금속절삭가공기계,93211
금속절삭가공기계의 부품,214786
액압 프레스,33885
기계 프레스,555031
금속 절곡기,143883
금속 전단기,45901
펀칭기,20894
금속 단조기,13524
금속 인발기,8856
나사 전조기,86114
금속선 가공기,34492
기타 금속성형기계,50841
금속성형기계의 부품,38758
목공기계,41218
기타 공작기계,260935
"다이, 지그 및 공작기계 부착물",850574
목공기계 부품,X
기타 공작기계 부품,56123
주물주조기계,213096
금속 압연기,65634
압연기 롤,113856
기타 금속주조 및 압연기 부품,69604
굴삭기,4642594
토공기계,131342
건설용 크레인,111876
콘크리트믹서,70538
콘크리트 펌프카,261236
도로포장 기계,70274
기초공사기계,45471
로더 및 불도저,444195
기타 건설용 트랙터,X
기타 건설용 기계,103310
무한궤도,363278
건설용 기계 부품,3325707
"광물용 파쇄, 마쇄 및 선별기",258692
기타 광산 기계,24730
콘크리트제품 제조기,34805
기타 광물제조장비,9131
광물처리장비 부품,24705
낙농품 가공기계,39756
정미기,62046
기타 곡물가공기계,10627
육류가공기계,104019
기타 공장용 음식료품 제조기계,208419
제빵용기계,71338
기타 상점용 음식료품 조리기계,60688
음식료품 및담배 가공기계 부품,24349
업소용 세탁관련기기,23078
염색기,29813
기타 섬유 마무리 가공기계,115435
공업용 재봉기,19390
연사기,X
방적기,52489
기타 화학섬유 및 방적기,29917
직기,10993
편직기,51345
자동 자수기,16247
기타 특수 직기,11834
가죽 및 신발제조 기계,32649
스핀들,12133
재봉기 부품,13899
"기타 섬유, 의복, 가죽 가공기계 부품",17002
웨이퍼 가공 장비,3986113
반도체 조립 장비,5076171
칩마운터,616803
태양전지 제조장비,53489
기타 반도체 제조 장비,1701205
반도체제조 장비 부품,4447263
평판디스플레이 제조용 기계,7244328
평판디스플레이 제조용기계 부품,752429
용접용로봇,284945
도장용로봇,88616
조립용로봇,674499
기타 산업용 로봇,685425
산업용 로봇 부품,337755
펄프제조기계,18877
종이제조 기계(초지기),45738
절단기,79794
골판지제조기,27611
기타 종이가공 기계,47206
펄프 및 종이제조 기계 부품,38650
플라스틱 사출성형기,987337
플라스틱 압출성형기,148483
진공 및 열성형기,94204
기타 플라스틱 제조 기계,48721
고무 가공기계,76151
고무 및 플라스틱 가공기계 부품,56257
인쇄기계,269869
기타 인쇄관련기계,35263
인쇄 및 제본관련 기계 부품,103070
프레스용 금형,3761670
플라스틱용 금형,2886106
기타 금형,870476
몰드베이스,585593
기타 주형관련 부속품,555619
판유리제조기,20839
기타 유리공업용 기계,32375
산업용 범용 건조기,527145
금속 표면처리기,503117
권선기,33956
화학제품 제조기계,239167
초음파 기기,102797
전자식 모의훈련기기,78512
기타 산업용기계,1513167
산업용기계 부품,1218837
자동차 및 트레일러 제조업,186412008
차량용 가솔린엔진,2064234
차량용 디젤엔진,1339097
경승용차,3016607
소형승용차,6152039
중형승용차,4579178
대형 승용차(배기량2000cc이상),10814667
RV자동차(다목적 승용차),38182436
경버스,X
소형버스,X
중형버스,X
대형버스,1290108
친환경차,5046055
자동차 KD세트(개조 및 분해),4317237
기타 자동차,92591
경트럭,X
소형트럭,3461533
중형트럭,X
대형트럭,X
특수목적용 자동차,1124093
자동차 차체,1351007
기중기차특장,194353
소방차특장,213123
기타 특장,701192
자동차 구조 및 장치 변경,56067
트레일러,146419
컨테이너(화물운송용),56125
트레일러 부품,22817
자동차 엔진용 신품 부품,15153311
자동차 차체용 신품 부품,22210782
신품 동력전달장치(자동차부품),19660000
신품 스타터모터,993128
신품 점화플러그,237806
신품 내연기관용 발전기,732998
신품 배전기와 점화코일,164104
신품 점화 및 기타 목적용 와이어링하네스,3676335
신품 와이퍼 및 서리제거용 열선,567894
신품 음향신호용 기구,X
신품 자동차 전자제어,2047750
기타 자동차용 신품 전기장치,188409
자동차용 신품 전기장치의 부품,2124674
신품 조향장치 및 부분품,5446844
신품 현가장지 및 부분품,2207038
신품 제동장치 및 부분품,5475778
자동차용  신품 의자,4898797
자동차용 신품 의자 부품,1488525
신품 차륜 및 부품(자동차부품),2716078
신품 라디에이터 및 부품(자동차부품),472658
신품 배기조직 및  부품(자동차부품),2345001
신품 안전벨트 및 부품(자동차부품),820851
신품 에어백 및 부품(자동차부품),1049195
신품 연료탱크(자동차부품),357552
신품 차량용 히터,350544
신품 촉매컨버터(배기관용; 자동차부품),137928
기타 신품 자동차부품,2428090
자동차 재제조 부품,521091
기타 운송장비 제조업,36200035
탱커(철강제),5659006
벌크선(철강제),541621
컨테이너선(철강제),4361355
가스및화학운반선,8136716
자동차운반선,217937
기타 화물선(철강제),X
어선(철강제),X
여객선(철강제),X
기타 항해용 강선,2453595
강선 수리,218263
"여객선(FRP제, 동력식)",X
"어선(FRP제, 동력식)",121419
합성수지선 수리,3080
목선(동력식),X
비철금속선(동력식),8733
특수선박(상업 및 군사용 제외),2197976
물에 뜨는 구조물,1580636
기타 선박 수리,27258
선체블록,1934779
모터보트,11763
무동력 보트,X
화물용 기차,X
전동차,935303
"철도, 궤도의 유지·보수용 차량",X
철도차량 개조 및 재생,X
제동기,39722
철도선로장치물,189431
철도차량용 의자,20831
"차축, 차륜 및 부품",22553
기타 철도차량 전용부품,357883
동력 항공기,1618047
무동력 항공기,X
항공기 개조 및 재생,X
대륙 간 탄도 미사일,X
무인 항공기,35621
무인 비행장치,11038
항공기용 엔진,X
항공기엔진 부품,965170
항공기용 의자,13983
기타 항공기 전용부품,2370772
전투용 차량,810071
전투용 차량부품,503476
모터사이클,35954
모터사이클  전용부품,34708
자전거,18272
환자용 차량,28835
환자용 차량 부품,X
기타 수동식 운송장비,51200
기타 수동식 운송장비 부품,24126
가구 제조업,7650959
매트리스,398638
매트리스 지지물,43135
소파 및 가정용 내장의자,282244
목제 식탁 및 식탁의자,81685
목제 조리대(싱크대),781117
목제 싱크대상판,115322
목제 상(식탁용),5616
찬장,72231
기타 목제 주방가구,91934
나전칠기제의 가구,X
목제 책상,87104
목제 의자,62927
거실 및 서재용 목제가구,616540
목제 침대,537557
화장대,41821
문갑,X
장식장,93574
장롱,776257
기타 침실용 목제가구,51978
유아 및 어린이용 목제가구,23507
TV 및 음향기기용 목제캐비닛,2980
신발장,83543
기타 가정용 목제가구,104938
사무용 목제책상,303302
사무용 목제의자,33834
사무용 목제탁자 및 테이블,59879
사무용 보관함,124194
목제 칸막이,66873
목제 상점진열대 및 라커,172435
기타 사무 및 상업용 목제가구,50434
학교 및 공공장소용 가구,140180
실험 및 과학용 가구,37812
주문형 목제가구,164490
목제가구 부품,148536
가정용 금속제 주방가구,84226
기타 가정용 금속가구,172028
사무용 금속제 책상,177250
사무용 금속제 의자,328207
금속제 캐비닛,214625
기타 사무용 보관함,18666
금속제 서가,66200
금속제 칸막이,124058
금속제 진열장 및 라커,313393
기타 금속가구,57199
금속가구 부품,65606
플라스틱제 가구,258808
기타 소재의 가구,12795
플라스틱 및 기타 소재의 가구 부품,88508
기타 제품 제조업,5540126
귀석 및 반귀석(원석을 1차가공한 것),20483
귀금속제의 신변장신구 및 부품,714345
귀금속제의 세공품 및 부품,81411
보석제 제품,19041
주화,228975
금속제 모조 장신용품,128123
비금속제 모조 장신용품,17291
건반 악기 부품,X
디지털 피아노,19136
전자기타,37274
그외 전기식 악기,X
전자악기 부품,12631
기타(guitar),8425
국악기,X
관악기,X
그외 악기,X
기타 악기 부품,38321
"체조,육상 및 체력단련용 장비",228627
놀이터용 장비,169199
낚시대,108245
낚시릴,122725
낚시바늘,24171
낚시 인조찌,X
기타 낚시용구,24209
수렵용구,5161
골프용품,166744
운동용 공,4385
운동용 장갑류,X
"양궁, 국궁 및 유사장비",30776
기타 운동 및 경기용구,36140
사람인형,8135
동물 및 기타인형,80700
승용장난감,19503
조립식장난감,135509
기타 장난감,55321
인형 및 장난감 부품,4881
영상게임기,37055
기타 오락용품,53348
기타 오락용품의 부품,X
간판 및 광고진열물(비전기식),585983
사인펜,24694
볼펜,97846
샤프펜,16848
기타 펜,32850
연필,33197
크레용 및 파스텔,10723
기타 필기용품,18282
기타 회화용품,20482
스탬프(수동식),32436
잉크리본,X
문구용칠판 및 화이트보드,30088
필기구의 부품,X
가발 및 유사제품,18668
가발제조용 원사,81427
조화 및 모조 장식품,56070
실물설명용 모형,283517
표구 제품,13596
표구 부속품,33189
일반 단추,79220
스냅 단추,1926
지퍼,172004
기타 파스너,9850
단추 및 지퍼 부품,4530
담배 라이터,X
담배 필터,296883
양초,19080
착화탄,13433
기타 연소가능물품,13454
라이타 및 흡연용품의 부품,X
칫솔,162767
청소용 비 및 솔,146310
개인위생용 솔,155755
페인트용 롤러 및 붓,X
산업용 솔,33318
놀이공원용품,4363
머리빗,9677
머리핀 및 미장원용 핀,10344
화장용품,139490
향수 및 화장품용 스프레이,X
우산류,19756
지팡이,X
보온용 및 기타 진공용기,23742
마네킹 인형,6375
기타 제품,137520
우산류 및 지팡이 부품,X
산업용 기계 및 장비 수리업,3009142
